age,female,income,wealth
21,1,124917,88855
19,1,23923,1252
19,0,100379,76930
19,0,103526,10843
19,0,122522,-79379
18,1,4650,-20798
18,0,54132,124483
17,0,5500,22206
16,1,19181,0
16,1,11080,0
16,1,13938,0
13,1,0,0
13,1,0,0
12,1,0,0
10,0,0,0
9,1,0,0
8,1,0,0
7,1,0,0
5,1,0,0
3,0,0,0
3,0,0,0
2,0,0,0
2,0,0,0
1,1,0,0
1,0,0,0
0,0,0,0
81,1,0,612427
80,1,114227,2499240
73,1,0,412856
72,1,0,27157
70,0,0,232413
68,0,0,-259989
68,0,0,-855966
66,0,244264,988083
63,1,0,87289
61,1,160854,0
60,0,267950,513851
59,1,261042,158000
59,0,625412,714590
59,0,8157,120211
58,0,258982,-5639
57,0,305188,221022
57,0,0,435566
55,1,0,182160
53,1,914731,-19152
53,0,232387,366985
53,1,130008,31090
52,0,598306,500648
50,1,206218,33033
50,0,362464,175969
49,0,5652,10325
47,0,234715,345998
46,1,1557616,1770032
46,0,257868,-449703
45,0,608348,103773
42,0,318550,1539093
42,0,296422,-123956
41,1,137912,40000
40,0,251223,196156
37,0,470746,-395440
36,0,228680,-323028
34,0,259404,-45784
33,0,240811,821585
33,0,210644,-472135
33,1,206522,-54974
32,0,562089,57969
30,1,29763,194
29,1,84235,43485
27,0,1727369,1336492
25,0,277349,-73803
24,0,69005,-12977
24,0,35554,-132719
21,0,70275,-350626
19,0,220723,-7786
19,1,32877,-13058
18,1,22842,524
17,0,15254,117455
17,0,74999,24
16,1,11898,0
16,0,22064,0
16,0,14740,0
15,0,0,0
14,1,0,0
14,0,0,0
13,0,0,0
11,1,0,0
11,0,0,0
11,1,0,0
9,0,0,0
8,1,0,0
8,0,0,0
7,0,0,0
4,0,0,0
4,0,0,0
3,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
0,1,0,0
87,0,0,204457
82,0,0,716603
79,1,0,358331
76,1,0,-115031
75,1,0,18477
73,1,0,135472
73,0,0,558482
70,1,0,251909
68,1,0,-560
67,0,29792,497464
64,1,0,28103
62,1,99716,6793361
61,1,0,18139
58,1,162111,89702
56,1,55834,385535
55,1,73663,646520
54,0,343829,387985
51,1,283127,21085
50,1,257050,68255
50,1,223061,10070
49,0,385203,-105759
49,1,189785,-591696
49,1,115768,0
48,1,286742,-322360
47,1,202101,290662
47,0,545309,18087
46,0,213727,-101198
46,1,285932,-251416
45,0,0,-104971
44,1,42174,-91693
44,1,259533,-15297
43,1,133285,16113
43,1,0,-176220
42,0,340269,-189998
41,1,143148,102568
41,0,270647,-737617
41,1,0,-1939
40,0,415485,-601762
40,0,309857,29205
39,1,90382,71382
38,0,422893,1049639
37,1,1738,16595
37,0,469793,-325221
36,1,137421,-313665
36,0,602113,-1337948
36,1,152723,9129
34,1,262633,-35343
33,1,19719,-96197
32,0,414124,-118832
31,0,124517,-330369
31,1,188884,-2901
31,1,365803,439798
30,0,4178,-179304
30,1,215756,102902
29,1,3036,-129109
29,1,243157,-187691
27,1,89332,3547
27,0,298127,-953098
24,1,0,-166668
23,1,357270,146151
23,1,209505,-85117
20,0,28667,-69176
20,0,80450,44001
18,1,36005,13477
18,0,54195,3756
16,0,12507,0
15,0,0,0
15,1,0,0
15,1,2000,0
11,0,0,0
10,0,0,0
10,1,0,0
10,1,0,0
9,0,0,0
7,0,0,0
5,0,0,156013
4,0,0,0
2,1,0,0
1,0,0,0
76,0,0,306205
75,0,11680,497965
74,1,0,11074
68,0,0,1050873
65,0,411850,5453345
64,1,53263,750616
63,1,7094,175483
58,0,248918,378370
58,0,318125,2591746
57,0,346111,1342531
56,0,307503,-687886
